1, 905
13, 902
46, 859
52, 846
69, 806
13, 803
5, 796
71, 789
52, 776
3, 757
7, 694
21, 664
18, 661
22, 660
16, 641
72, 623
66, 613
30, 607
50, 589
82, 584
130, 575
16, 572
96, 504
32, 390
44, 385
123, 287
122, 276
119, 273
3, 259
45, 244
67, 225
344, 494
146, 184
12, 148
232, 143
203, 139
81, 137
98, 130
35, 131
4, 130
153, 127
185, 126
19, 126
331, 124
182, 123
138, 124
230, 121
255, 119
149, 118
44, 116
400, 114
329, 111
74, 110
270, 111
49, 109
398, 108
191, 107
163, 106
34, 106
55, 105
202, 102
281, 101
355, 101
275, 102
416, 98
191, 97
412, 95
233, 96
291, 91
338, 88
197, 88
186, 85
201, 83
362, 83
289, 82
435, 79
415, 76
288, 73
149, 73
47, 73
368, 72
352, 70
225, 71
321, 66
308, 69
162, 62
236, 61
275, 58
496, 52
290, 52
358, 48
140, 48
198, 48
124, 37
443, 34
400, 35
485, 33
396, 31
179, 32
355, 27
250, 24
31, 22
189, 21
246, 21
551, 14
266, 14
305, 10
170, 9
418, 8
320, 7
303, 6
