420, 2737
545, 2719
438, 2717
404, 2714
480, 2709
411, 2707
401, 2705
493, 2702
463, 2701
783, 2691
722, 2690
753, 2690
801, 2688
468, 2682
768, 2681
397, 2681
414, 2678
633, 2665
421, 2659
905, 2654
1022, 2654
1059, 2652
1052, 2652
1026, 2651
610, 2651
971, 2650
1060, 2645
1037, 2645
797, 2645
543, 2643
916, 2641
899, 2641
1072, 2635
987, 2633
845, 2631
953, 2628
661, 2627
1054, 2627
657, 2625
964, 2623
743, 2623
1004, 2620
611, 2620
967, 2619
913, 2619
1045, 2618
867, 2617
961, 2617
836, 2616
840, 2611
983, 2609
675, 2609
402, 2609
975, 2608
863, 2607
951, 2606
691, 2605
1070, 2603
984, 2598
939, 2598
1072, 2597
840, 2597
1049, 2596
676, 2595
665, 2589
919, 2588
1065, 2585
923, 2585
896, 2585
689, 2586
1046, 2585
372, 2585
875, 2583
939, 2581
1065, 2580
397, 2580
967, 2575
863, 2573
408, 2570
960, 2569
984, 2567
830, 2560
825, 2559
983, 2558
956, 2551
905, 2548
903, 2542
718, 2540
975, 2534
901, 2534
707, 2534
967, 2533
952, 2531
878, 2524
967, 2524
952, 2517
913, 2518
684, 2513
867, 2512
970, 2511
703, 2510
856, 2509
861, 2504
819, 2501
811, 2497
939, 2493
787, 2473
450, 2458
1052, 2427
355, 2279
355, 2268
355, 2229
369, 2212
384, 2193
334, 2152
340, 2137
322, 2098
320, 2079
323, 2030
313, 2027
400, 2022
342, 2020
323, 2011
374, 1998
355, 1998
318, 1995
347, 1993
339, 1987
331, 1987
326, 1972
320, 1972
342, 1939
339, 1926
334, 1927
302, 1903
302, 1898
311, 1891
371, 1890
331, 1888
390, 1886
399, 1883
404, 1883
310, 1881
385, 1875
335, 1873
299, 1865
326, 1864
344, 1857
315, 1856
393, 1854
387, 1854
351, 1854
361, 1851
347, 1850
323, 1846
348, 1819
323, 1820
389, 1814
368, 1807
319, 1804
379, 1800
384, 1799
345, 1798
390, 1798
977, 1795
365, 1791
360, 1788
331, 1787
315, 1784
356, 1777
414, 1770
391, 1770
318, 1769
438, 1766
414, 1763
366, 1756
318, 1756
326, 1753
960, 1750
382, 1750
322, 1750
356, 1747
435, 1744
393, 1742
379, 1741
369, 1740
427, 1736
288, 1736
394, 1735
366, 1730
336, 1728
382, 1724
335, 1723
395, 1722
374, 1722
328, 1721
316, 1721
875, 1720
366, 1720
324, 1720
410, 1718
441, 1716
374, 1716
354, 1715
368, 1706
387, 1703
302, 1703
408, 1699
344, 1699
401, 1698
458, 1695
284, 1695
390, 1694
469, 1691
367, 1688
414, 1687
347, 1686
288, 1685
358, 1683
443, 1681
414, 1680
351, 1680
411, 1678
963, 1675
968, 1675
456, 1674
950, 1672
436, 1671
331, 1670
371, 1667
339, 1667
400, 1664
347, 1664
323, 1664
952, 1663
411, 1663
438, 1662
358, 1662
398, 1659
956, 1658
364, 1657
363, 1653
926, 1651
320, 1651
381, 1648
384, 1644
420, 1643
966, 1639
462, 1637
373, 1635
326, 1630
856, 1629
818, 1629
746, 1629
473, 1629
714, 1628
452, 1628
437, 1629
363, 1627
388, 1627
962, 1625
491, 1624
386, 1623
482, 1622
524, 1620
936, 1619
566, 1618
416, 1618
347, 1619
942, 1617
427, 1615
366, 1614
347, 1614
360, 1613
353, 1613
940, 1611
675, 1611
380, 1611
683, 1610
393, 1605
851, 1602
739, 1602
929, 1601
923, 1595
850, 1595
504, 1595
846, 1594
586, 1594
854, 1591
934, 1587
842, 1585
567, 1585
934, 1579
888, 1579
888, 1574
824, 1566
926, 1564
891, 1564
900, 1563
907, 1562
846, 1559
492, 1190
1669, 176
745, 145
